condition,task_id,category,difficulty,workflow,trial_index,latency_ms,correct,confidence,coverage_pct,repair_iterations,cache_status,http_status,error_type,timestamp
A2_no_sandbox,reverse_words,String and Text Processing,Easy,run,0,442.39,True,,,0,,200,,2026-07-25T14:00:47.378476+00:00
A2_no_sandbox,reverse_words,String and Text Processing,Easy,run,1,543.86,True,,,0,,200,,2026-07-25T14:00:50.926291+00:00
A2_no_sandbox,reverse_words,String and Text Processing,Easy,run,2,439.0,True,,,0,,200,,2026-07-25T14:00:54.368857+00:00
A2_no_sandbox,reverse_words,String and Text Processing,Easy,run,3,395.7,True,,,0,,200,,2026-07-25T14:00:57.766511+00:00
A2_no_sandbox,count_vowels,String and Text Processing,Easy,run,0,600.22,True,,,0,,200,,2026-07-25T14:01:01.371491+00:00
A2_no_sandbox,count_vowels,String and Text Processing,Easy,run,1,304.81,True,,,0,,200,,2026-07-25T14:01:04.680944+00:00
A2_no_sandbox,count_vowels,String and Text Processing,Easy,run,2,435.95,True,,,0,,200,,2026-07-25T14:01:08.122970+00:00
A2_no_sandbox,count_vowels,String and Text Processing,Easy,run,3,445.29,True,,,0,,200,,2026-07-25T14:01:11.571768+00:00
A2_no_sandbox,is_palindrome_str,String and Text Processing,Easy,run,0,515.72,True,,,0,,200,,2026-07-25T14:01:15.092049+00:00
A2_no_sandbox,is_palindrome_str,String and Text Processing,Easy,run,1,580.2,True,,,0,,200,,2026-07-25T14:01:18.677023+00:00
A2_no_sandbox,is_palindrome_str,String and Text Processing,Easy,run,2,512.68,True,,,0,,200,,2026-07-25T14:01:22.194876+00:00
A2_no_sandbox,is_palindrome_str,String and Text Processing,Easy,run,3,545.11,True,,,0,,200,,2026-07-25T14:01:25.742329+00:00
A2_no_sandbox,levenshtein_distance,String and Text Processing,Hard,run,0,6211.62,False,,,0,,500,logic_error,2026-07-25T14:01:34.956042+00:00
A2_no_sandbox,levenshtein_distance,String and Text Processing,Hard,run,1,5346.58,False,,,0,,500,logic_error,2026-07-25T14:01:43.305598+00:00
A2_no_sandbox,levenshtein_distance,String and Text Processing,Hard,run,2,4928.03,False,,,0,,500,logic_error,2026-07-25T14:01:51.240226+00:00
A2_no_sandbox,levenshtein_distance,String and Text Processing,Hard,run,3,5084.01,False,,,0,,500,logic_error,2026-07-25T14:01:59.330101+00:00
A2_no_sandbox,is_prime,Numerical and Mathematical,Easy,run,0,434.18,True,,,0,,200,,2026-07-25T14:02:02.769632+00:00
A2_no_sandbox,is_prime,Numerical and Mathematical,Easy,run,1,415.16,True,,,0,,200,,2026-07-25T14:02:06.191359+00:00
A2_no_sandbox,is_prime,Numerical and Mathematical,Easy,run,2,576.76,True,,,0,,200,,2026-07-25T14:02:09.774691+00:00
A2_no_sandbox,is_prime,Numerical and Mathematical,Easy,run,3,479.54,True,,,0,,200,,2026-07-25T14:02:13.256304+00:00
A2_no_sandbox,fibonacci,Numerical and Mathematical,Easy,run,0,578.86,True,,,0,,200,,2026-07-25T14:02:16.840456+00:00
A2_no_sandbox,fibonacci,Numerical and Mathematical,Easy,run,1,426.38,True,,,0,,200,,2026-07-25T14:02:20.273245+00:00
A2_no_sandbox,fibonacci,Numerical and Mathematical,Easy,run,2,627.89,True,,,0,,200,,2026-07-25T14:02:23.906421+00:00
A2_no_sandbox,fibonacci,Numerical and Mathematical,Easy,run,3,466.06,True,,,0,,200,,2026-07-25T14:02:27.377255+00:00
A2_no_sandbox,sieve_of_eratosthenes,Numerical and Mathematical,Medium,run,0,588.89,False,,,0,,200,edge_case_miss,2026-07-25T14:02:30.970497+00:00
A2_no_sandbox,sieve_of_eratosthenes,Numerical and Mathematical,Medium,run,1,584.66,False,,,0,,200,edge_case_miss,2026-07-25T14:02:34.556698+00:00
A2_no_sandbox,sieve_of_eratosthenes,Numerical and Mathematical,Medium,run,2,475.71,False,,,0,,200,edge_case_miss,2026-07-25T14:02:38.037475+00:00
A2_no_sandbox,sieve_of_eratosthenes,Numerical and Mathematical,Medium,run,3,381.73,False,,,0,,200,edge_case_miss,2026-07-25T14:02:41.423360+00:00
A2_no_sandbox,matrix_multiply,Numerical and Mathematical,Hard,run,0,455.58,True,,,0,,200,,2026-07-25T14:02:44.880824+00:00
A2_no_sandbox,matrix_multiply,Numerical and Mathematical,Hard,run,1,391.48,True,,,0,,200,,2026-07-25T14:02:48.277269+00:00
A2_no_sandbox,matrix_multiply,Numerical and Mathematical,Hard,run,2,477.79,True,,,0,,200,,2026-07-25T14:02:51.759130+00:00
A2_no_sandbox,matrix_multiply,Numerical and Mathematical,Hard,run,3,578.45,True,,,0,,200,,2026-07-25T14:02:55.344103+00:00
A2_no_sandbox,two_sum,Data Structures and Algorithms,Easy,run,0,374.9,True,,,0,,200,,2026-07-25T14:02:58.721792+00:00
A2_no_sandbox,two_sum,Data Structures and Algorithms,Easy,run,1,470.41,True,,,0,,200,,2026-07-25T14:03:02.195851+00:00
A2_no_sandbox,two_sum,Data Structures and Algorithms,Easy,run,2,484.87,True,,,0,,200,,2026-07-25T14:03:05.685530+00:00
A2_no_sandbox,two_sum,Data Structures and Algorithms,Easy,run,3,503.5,True,,,0,,200,,2026-07-25T14:03:09.191560+00:00
A2_no_sandbox,max_subarray_sum,Data Structures and Algorithms,Medium,run,0,554.37,True,,,0,,200,,2026-07-25T14:03:12.750457+00:00
A2_no_sandbox,max_subarray_sum,Data Structures and Algorithms,Medium,run,1,415.03,True,,,0,,200,,2026-07-25T14:03:16.171061+00:00
A2_no_sandbox,max_subarray_sum,Data Structures and Algorithms,Medium,run,2,332.91,True,,,0,,200,,2026-07-25T14:03:19.509720+00:00
A2_no_sandbox,max_subarray_sum,Data Structures and Algorithms,Medium,run,3,474.92,True,,,0,,200,,2026-07-25T14:03:22.991149+00:00
A2_no_sandbox,coin_change,Data Structures and Algorithms,Hard,run,0,405.93,True,,,0,,200,,2026-07-25T14:03:26.403840+00:00
A2_no_sandbox,coin_change,Data Structures and Algorithms,Hard,run,1,456.98,True,,,0,,200,,2026-07-25T14:03:29.865644+00:00
A2_no_sandbox,coin_change,Data Structures and Algorithms,Hard,run,2,1078.43,True,,,0,,200,,2026-07-25T14:03:33.949349+00:00
A2_no_sandbox,coin_change,Data Structures and Algorithms,Hard,run,3,576.39,True,,,0,,200,,2026-07-25T14:03:37.532043+00:00
A2_no_sandbox,sliding_window_max,Data Structures and Algorithms,Hard,run,0,353.6,True,,,0,,200,,2026-07-25T14:03:40.888022+00:00
A2_no_sandbox,sliding_window_max,Data Structures and Algorithms,Hard,run,1,602.83,True,,,0,,200,,2026-07-25T14:03:44.496717+00:00
A2_no_sandbox,sliding_window_max,Data Structures and Algorithms,Hard,run,2,577.64,True,,,0,,200,,2026-07-25T14:03:48.078446+00:00
A2_no_sandbox,sliding_window_max,Data Structures and Algorithms,Hard,run,3,374.9,True,,,0,,200,,2026-07-25T14:03:51.456612+00:00
A2_no_sandbox,is_valid_email,Validation and Parsing,Medium,run,0,584.51,True,,,0,,200,,2026-07-25T14:03:55.042780+00:00
A2_no_sandbox,is_valid_email,Validation and Parsing,Medium,run,1,357.9,True,,,0,,200,,2026-07-25T14:03:58.404129+00:00
