task_id,he_task_id,trial_index,latency_ms,correct,pass_count,total_tests,http_status,timestamp
HumanEval_75,HumanEval/75,0,683.83,False,1,5,200,2026-07-25T11:44:32.645719+00:00
HumanEval_76,HumanEval/76,0,477.43,False,0,10,200,2026-07-25T11:44:53.717782+00:00
HumanEval_78,HumanEval/78,0,12369.44,False,0,1,500,2026-07-25T11:45:12.097822+00:00
HumanEval_79,HumanEval/79,0,567.13,False,0,4,200,2026-07-25T11:45:23.358718+00:00
HumanEval_80,HumanEval/80,0,653.35,False,0,8,200,2026-07-25T11:45:41.936034+00:00
HumanEval_81,HumanEval/81,0,593.53,False,0,6,200,2026-07-25T11:45:56.130696+00:00
HumanEval_82,HumanEval/82,0,10197.51,False,0,16,500,2026-07-25T11:49:02.935889+00:00
HumanEval_83,HumanEval/83,0,7991.66,False,0,5,200,2026-07-25T11:49:23.939847+00:00
HumanEval_84,HumanEval/84,0,9420.43,False,0,5,200,2026-07-25T11:49:45.927460+00:00
HumanEval_85,HumanEval/85,0,7885.13,True,4,4,200,2026-07-25T11:50:04.733979+00:00
HumanEval_86,HumanEval/86,0,7674.81,True,7,7,200,2026-07-25T11:50:27.828913+00:00
HumanEval_87,HumanEval/87,0,7283.54,False,2,3,200,2026-07-25T11:50:44.229931+00:00
HumanEval_88,HumanEval/88,0,7357.04,False,0,7,200,2026-07-25T11:51:06.553461+00:00
HumanEval_89,HumanEval/89,0,7464.1,False,0,8,200,2026-07-25T11:51:56.128470+00:00
HumanEval_90,HumanEval/90,0,6993.97,True,6,6,200,2026-07-25T11:52:17.039933+00:00
HumanEval_91,HumanEval/91,0,4978.89,False,0,6,200,2026-07-25T11:52:36.115420+00:00
HumanEval_92,HumanEval/92,0,7700.49,False,0,10,200,2026-07-25T11:53:13.640248+00:00
HumanEval_93,HumanEval/93,0,7867.18,False,0,5,200,2026-07-25T11:53:34.929876+00:00
HumanEval_94,HumanEval/94,0,4593.34,False,0,9,500,2026-07-25T11:54:33.134203+00:00
HumanEval_96,HumanEval/96,0,4079.68,False,0,10,200,2026-07-25T11:54:57.324830+00:00
HumanEval_98,HumanEval/98,0,10508.03,False,0,7,500,2026-07-25T11:56:23.515840+00:00
HumanEval_99,HumanEval/99,0,7801.05,False,0,5,200,2026-07-25T11:56:43.343142+00:00
HumanEval_100,HumanEval/100,0,8032.72,False,0,5,200,2026-07-25T11:57:03.416916+00:00
HumanEval_101,HumanEval/101,0,7668.82,True,6,6,200,2026-07-25T11:57:24.728766+00:00
HumanEval_102,HumanEval/102,0,4285.96,False,0,8,500,2026-07-25T11:58:14.892875+00:00
HumanEval_103,HumanEval/103,0,7158.25,False,10,12,200,2026-07-25T11:58:45.509338+00:00
HumanEval_104,HumanEval/104,0,4291.75,False,0,4,500,2026-07-25T11:59:13.260845+00:00
HumanEval_105,HumanEval/105,0,7555.6,False,0,5,200,2026-07-25T11:59:32.713286+00:00
HumanEval_106,HumanEval/106,0,5007.35,False,0,4,200,2026-07-25T11:59:48.330833+00:00
HumanEval_107,HumanEval/107,0,4609.17,False,0,8,500,2026-07-25T12:00:42.228854+00:00
HumanEval_108,HumanEval/108,0,7282.53,False,3,7,200,2026-07-25T12:01:11.809666+00:00
HumanEval_109,HumanEval/109,0,7305.94,False,3,5,200,2026-07-25T12:01:31.348544+00:00
HumanEval_110,HumanEval/110,0,4640.74,False,0,7,500,2026-07-25T12:02:18.401461+00:00
HumanEval_111,HumanEval/111,0,7765.23,False,0,8,200,2026-07-25T12:02:42.463885+00:00
HumanEval_112,HumanEval/112,0,11558.75,False,0,9,500,2026-07-25T12:04:38.432899+00:00
HumanEval_113,HumanEval/113,0,1576.07,False,0,2,500,2026-07-25T12:04:48.520686+00:00
HumanEval_114,HumanEval/114,0,901.43,False,0,12,500,2026-07-25T12:06:19.041536+00:00
HumanEval_115,HumanEval/115,0,891.89,False,0,5,500,2026-07-25T12:06:33.862745+00:00
HumanEval_116,HumanEval/116,0,868.43,False,1,8,200,2026-07-25T12:06:53.731987+00:00
HumanEval_118,HumanEval/118,0,1473.55,False,0,13,200,2026-07-25T12:07:22.214819+00:00
HumanEval_119,HumanEval/119,0,1054.0,False,0,12,500,2026-07-25T12:07:51.071050+00:00
HumanEval_120,HumanEval/120,0,881.81,False,0,11,500,2026-07-25T12:08:16.739627+00:00
HumanEval_121,HumanEval/121,0,1029.27,False,0,7,500,2026-07-25T12:08:35.309613+00:00
HumanEval_122,HumanEval/122,0,939.14,False,0,5,500,2026-07-25T12:08:49.964915+00:00
HumanEval_123,HumanEval/123,0,1000.57,False,0,4,500,2026-07-25T12:09:02.922038+00:00
HumanEval_124,HumanEval/124,0,1289.35,False,0,16,500,2026-07-25T12:09:40.782401+00:00
HumanEval_125,HumanEval/125,0,2342.56,False,0,8,500,2026-07-25T12:10:11.929806+00:00
HumanEval_126,HumanEval/126,0,1018.86,False,0,13,500,2026-07-25T12:10:43.559345+00:00
HumanEval_127,HumanEval/127,0,668.53,False,0,8,200,2026-07-25T12:11:14.430812+00:00
HumanEval_128,HumanEval/128,0,1331.41,False,1,8,500,2026-07-25T12:11:39.464605+00:00
